video_url,,Answer.category.label,,,,
https://shorttrainingmaterials.s3.us-east-2.amazonaws.com/BALLY_PIIT%40TBR/BALLY_PIIT@TBR_1916.915.mp4,3,Neither,,,1,Wipe Transition
https://shorttrainingmaterials.s3.us-east-2.amazonaws.com/BALLY_PIIT%40TBR/BALLY_PIIT@TBR_1922.099.mp4,3,Neither,,,2,Dissolve Transition
https://shorttrainingmaterials.s3.us-east-2.amazonaws.com/BALLY_PIIT%40TBR/BALLY_PIIT@TBR_1931.349.mp4,3,Neither,,,3,Neither
https://shorttrainingmaterials.s3.us-east-2.amazonaws.com/BALLY_PIIT%40TBR/BALLY_PIIT@TBR_1941.514.mp4,3,Neither,,,,
https://shorttrainingmaterials.s3.us-east-2.amazonaws.com/BALLY_PIIT%40TBR/BALLY_PIIT@TBR_1943.784.mp4,3,Neither,,,,
https://shorttrainingmaterials.s3.us-east-2.amazonaws.com/BALLY_PIIT%40TBR/BALLY_PIIT@TBR_1951.001.mp4,1,Wipe Transition,,,,
https://shorttrainingmaterials.s3.us-east-2.amazonaws.com/BALLY_PIIT%40TBR/BALLY_PIIT@TBR_1955.846.mp4,1,Wipe Transition,,,,
https://shorttrainingmaterials.s3.us-east-2.amazonaws.com/BALLY_PIIT%40TBR/BALLY_PIIT@TBR_1960.691.mp4,1,Wipe Transition,Also has brief dissolve,,,
https://shorttrainingmaterials.s3.us-east-2.amazonaws.com/BALLY_PIIT%40TBR/BALLY_PIIT@TBR_1980.885.mp4,3,Neither,,,,
https://shorttrainingmaterials.s3.us-east-2.amazonaws.com/BALLY_PIIT%40TBR/BALLY_PIIT@TBR_1990.643.mp4,3,Neither,,,,
https://shorttrainingmaterials.s3.us-east-2.amazonaws.com/BALLY_PIIT%40TBR/BALLY_PIIT@TBR_2007.178.mp4,3,Neither,,,,
https://shorttrainingmaterials.s3.us-east-2.amazonaws.com/BALLY_PIIT%40TBR/BALLY_PIIT@TBR_2114.891.mp4,3,Neither,,,,
https://shorttrainingmaterials.s3.us-east-2.amazonaws.com/BALLY_PIIT%40TBR/BALLY_PIIT@TBR_2129.325.mp4,3,Neither,,,,
https://shorttrainingmaterials.s3.us-east-2.amazonaws.com/BALLY_PIIT%40TBR/BALLY_PIIT@TBR_2136.881.mp4,3,Neither,,,,
https://shorttrainingmaterials.s3.us-east-2.amazonaws.com/BALLY_PIIT%40TBR/BALLY_PIIT@TBR_2143.726.mp4,1,Wipe Transition,,,,
https://shorttrainingmaterials.s3.us-east-2.amazonaws.com/BALLY_PIIT%40TBR/BALLY_PIIT@TBR_2149.553.mp4,1,Wipe Transition,,,,
https://shorttrainingmaterials.s3.us-east-2.amazonaws.com/BALLY_PIIT%40TBR/BALLY_PIIT@TBR_2155.686.mp4,2,Dissolve Transition,,,,
https://shorttrainingmaterials.s3.us-east-2.amazonaws.com/BALLY_PIIT%40TBR/BALLY_PIIT@TBR_2174.084.mp4,3,Neither,,,,
https://shorttrainingmaterials.s3.us-east-2.amazonaws.com/BALLY_PIIT%40TBR/BALLY_PIIT@TBR_2178.252.mp4,3,Neither,,,,
https://shorttrainingmaterials.s3.us-east-2.amazonaws.com/BALLY_PIIT%40TBR/BALLY_PIIT@TBR_2180.658.mp4,3,Neither,,,,
https://shorttrainingmaterials.s3.us-east-2.amazonaws.com/BALLY_PIIT%40TBR/BALLY_PIIT@TBR_2182.996.mp4,1,Wipe Transition,,,,
https://shorttrainingmaterials.s3.us-east-2.amazonaws.com/BALLY_PIIT%40TBR/BALLY_PIIT@TBR_2187.604.mp4,1,Wipe Transition,,,,
https://shorttrainingmaterials.s3.us-east-2.amazonaws.com/BALLY_PIIT%40TBR/BALLY_PIIT@TBR_2194.55.mp4,2,Dissolve Transition,,,,
https://shorttrainingmaterials.s3.us-east-2.amazonaws.com/BALLY_PIIT%40TBR/BALLY_PIIT@TBR_2198.446.mp4,2,Dissolve Transition,,,,
https://shorttrainingmaterials.s3.us-east-2.amazonaws.com/BALLY_PIIT%40TBR/BALLY_PIIT@TBR_2199.869.mp4,1,Wipe Transition,(also has dissolve),,,
https://shorttrainingmaterials.s3.us-east-2.amazonaws.com/BALLY_PIIT%40TBR/BALLY_PIIT@TBR_2203.867.mp4,1,Wipe Transition,,,,
